LINK DRIVE	NOME DO PROJETO	CLIENTE	SERVIÇO	TÍTULO YOUTUBE	Column 11	LINK YOUTUBE	PALAVRAS CHAVE	LINK PIXIESET	LINK THUMBNAIL	LINK VIDEO PREVIEW (5S)
260226_EurovilleBMW_PacoteMensalFev26_Captação2_Reel_BMWM3Competition_VinhetaEuroville_ReversoFilmes_T_vFinal.mp4	BMW M3 COMPETITION	EUROVILLE BMW	PUBLICITÁRIO, FOTOS	Bmw M3 Competition | Euroville Bmw – Reverso Filmes	Vídeo publicitário produzido para Euroville Bmw, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/1K_DKuMwTiQ	CARRO, BMW, 			
260226_EurovilleBMW_PacoteMensalFev26_Captação2_Reel_BBMWM135xDrive_VinhetaEuroville_ReversoFilmes_T_vFinal.mp4	BMW M135 XDRIVE	EUROVILLE BMW	PUBLICITÁRIO, FOTOS	Bmw M135 Xdrive | Euroville Bmw – Reverso Filmes	Vídeo publicitário produzido para Euroville Bmw, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/56RjlqQcdME		https://reversofilmes.pixieset.com/eurovillebmwlancamentobmwm135/		
260217_RedBull_BlocoFunkYou_ReversoFilmes_T.mp4	AÇÃO CARNAVAL 2026 - BLOCO FUNK YOU	RED BULL	FESTIVAIS E EVENTOS	Ação Carnaval 2026 - Bloco Funk You | Red Bull – Reverso Filmes	Vídeo aftermovie produzido para Red Bull, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/u_b2RMhfXZg				
260217_JuventudeBronzeada_Carnaval2026_Aftermovie_ReversoFilmes_vFinal_T.mp4	CARNAVAL 2026	JUVENTUDE BRONZEADA	FESTIVAIS & EVENTOS, FOTOS	Carnaval 2026 | Juventude Bronzeada – Reverso Filmes	Vídeo aftermovie produzido para Juventude Bronzeada, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/cf88PD988oE		https://reversofilmes.pixieset.com/juventudebronzeadacarnaval2026/		
260216_BlocoSwingSafado_Carnaval2026_Aftermovie_ReversoFilmes_vFinal_T.mp4	CARNAVAL 2026	BLOCO SWING SAFADO	FESTIVAIS & EVENTOS	Carnaval 2026 | Bloco Swing Safado – Reverso Filmes	Vídeo aftermovie produzido para Bloco Swing Safado, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/o4ic9etYQxQ				
260215_Sympla_Carnaval2026_CarnavalDosSonhos_AftermovieMobile_ReversoFilmes.MP4	CARNAVAL DOS SONHOS 2026	SYMPLA	FESTIVAIS & EVENTOS, MOBILE	Carnaval Dos Sonhos 2026 | Sympla – Reverso Filmes	Vídeo aftermovie mobile produzido para Sympla, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/A0xBpzN-YMM				
260215_Sympla_Carnaval2026_BlocoDaEsquina_AftermovieMobile_ReversoFilmes_T.mp4	BLOCO DA ESQUINA - CARNAVAL 2026	SYMPLA	FESTIVAIS & EVENTOS, MOBILE	Bloco Da Esquina - Carnaval 2026 | Sympla – Reverso Filmes	Vídeo aftermovie mobile produzido para Sympla, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/0BO50XRgNLQ				
260215_ÔSorte_Carnaval2026_Aftermovie_ReversoFilmes_v2_T.mp4	CARNAVAL 2026	Ô SORTE	FESTIVAIS & EVENTOS	Carnaval 2026 | Ô Sorte – Reverso Filmes	Vídeo aftermovie produzido para Ô Sorte, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/p4MADv51v5Y				
260214_Sympla_Carnaval2026_BlocoAsaDeBanana_AftermovieMobile_ReversoFilmes_T.mp4	BLOCO ASA DE BANANA - CARANVAL 2026	SYMPLA	FESTIVAIS & EVENTOS, MOBILE	Bloco Asa De Banana - Caranval 2026 | Sympla – Reverso Filmes	Vídeo aftermovie mobile produzido para Sympla, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/9Tt6UFJZeCk				
260214_HeavyLove_AftermovieMobile_ReversoFilmes_v3_T.mp4	BAILE DE CARNAVAL	HEAVY LOVE	FESTIVAIS & EVENTOS, MOBILE, FOTOS	Baile De Carnaval | Heavy Love – Reverso Filmes	Vídeo aftermovie mobile produzido para Heavy Love, em fevereiro de 2026.  🎬 Captação, edição e finalização de vídeo: Reverso Filmes.	https://youtube.com/shorts/zh2KzQpRYdQ		https://reversofilmes.pixieset.com/heavylovebhbaileheavylove/		
