name,ttl,type,value
"reversofilmes.com.br","3600","NETLIFY","reversofilmessite.netlify.app"
"www.reversofilmes.com.br","3600","NETLIFY","reversofilmessite.netlify.app"
"zmail._domainkey.reversofilmes.com.br.reversofilmes.com.br","3600","TXT",""v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCP000oO2chhkznTpJEE+knmwPjKoE1jXA2sQnSnVCTDMHORckc4EoQgMuiIqCJrnzSTnb/guXGLGzp4yjFsLFZtwfJKUu2tE9Vc1xeYWlKTv3srFv4lv4Zen4euWsQlzuQYCu2Wuj34VrEn9czF6yp2wFk2rY8Y5tUmLdLcs8xCwIDAQAB""
"reversofilmes.com.br.reversofilmes.com.br","3600","TXT",""v=spf1 include:zohomail.com ~all""
"reversofilmes.com.br","3600","MX","mx3.zoho.com"
"reversofilmes.com.br","3600","MX","mx2.zoho.com"
"reversofilmes.com.br","3600","MX","mx.zoho.com"
"zb39267553.reversofilmes.com.br.reversofilmes.com.br","3600","CNAME","zmverify.zoho.com"
"reversofilmes.com.br","3600","TXT",""zoho-verification=zb39267553.zmverify.zoho.com""
"ftp.reversofilmes.com.br.reversofilmes.com.br","3600","CNAME","reversofilmes.com.br"
"www.reversofilmes.com.br.reversofilmes.com.br","3600","CNAME","reversofilmes.com.br"
"mail.reversofilmes.com.br.reversofilmes.com.br","3600","CNAME","reversofilmes.com.br"
"reversofilmes.com.br.reversofilmes.com.br","3600","A","162.240.81.81"
"temp.reversofilmes.com.br","3600","NETLIFY","reversofilmessite.netlify.app"
